板块,涨跌额,涨跌幅,领涨股
次新股,13.24,40.70%,N诺瓦(sz301589)
纺织机械,0.52,9.89%,三联虹普(sz300384)
陶瓷行业,0.46,7.59%,道氏技术(sz300409)
塑料制品,0.39,6.82%,安利股份(sz300218)
纺织行业,0.29,6.67%,嘉欣丝绸(sz002404)
摩托车,0.43,6.48%,宗申动力(sz001696)
环保行业,0.27,6.11%,永清环保(sz300187)
仪器仪表,0.65,5.76%,聚光科技(sz300203)
电子信息,0.52,5.43%,华宇软件(sz300271)
开发区,0.60,5.21%,高新发展(sz000628)
