板块名称,流入率,流入额
煤炭行业,+12.16%,18.93亿
综合行业,+11.76%,4.21亿
石油行业,+9.28%,5.72亿
电力行业,+7.43%,9.52亿
公路桥梁,+7.35%,1.52亿
