名称,最新价,涨幅
包钢股份,1.52,0.00%
歌尔股份,16.09,-0.68%
北方稀土,18.53,-0.91%
三安光电,12.00,1.18%
通威股份,26.00,0.08%
隆基绿能,20.19,-0.10%
宁德时代,160.09,-1.69%
赣锋锂业,35.18,0.89%
东方财富,13.23,-0.30%
京东方Ａ,3.95,1.80%
